N,Threads,Time,Speedup
200,1,0.0065,1.0
200,2,0.0022,2.96
200,4,0.0033,1.98
200,8,0.0028,2.36
200,16,0.004,1.61
400,1,0.0149,1.0
400,2,0.0221,0.67
400,4,0.0061,2.44
400,8,0.0092,1.63
400,16,0.0073,2.05
800,1,0.0894,1.0
800,2,0.0923,0.97
800,4,0.0933,0.96
800,8,0.0697,1.28
800,16,0.0712,1.26
1200,1,0.2509,1.0
1200,2,0.231,1.09
1200,4,0.2118,1.18
1200,8,0.245,1.02
1200,16,0.2341,1.07
1600,1,0.58,1.0
1600,2,0.5645,1.03
1600,4,0.5608,1.03
1600,8,0.6162,0.94
1600,16,0.5605,1.03
2000,1,1.2287,1.0
2000,2,1.1271,1.09
2000,4,1.2355,0.99
2000,8,1.2507,0.98
2000,16,1.1679,1.05
