N,BlockSize,Time,GFLOPS
512,8,2.1e-06,127826.40761904762
512,16,1.6e-06,167772.16
512,32,1.5e-06,178956.97066666666
1024,8,1.6e-06,1342177.28
1024,16,1.6e-06,1342177.28
1024,32,1.7e-06,1263225.6752941178
1536,8,1.7e-06,4263386.654117647
1536,16,1.7e-06,4263386.654117647
1536,32,1.6e-06,4529848.32
2048,8,1.7e-06,10105805.402352942
2048,16,1.7e-06,10105805.402352942
2048,32,1.6e-06,10737418.24
2560,8,1.7e-06,19737901.17647059
2560,16,1.6e-06,20971520.0
2560,32,1.7e-06,19737901.17647059
3072,8,1.8e-06,32212254.72
3072,16,1.7e-06,34107093.23294117
3072,32,1.6e-06,36238786.56
3584,8,1.6e-06,57545850.88
3584,16,1.7e-06,54160800.8282353
3584,32,1.7e-06,54160800.8282353
4096,8,1.8e-06,76354974.15111113
4096,16,1.6e-06,85899345.92
4096,32,1.6e-06,85899345.92
